hi HN :),"Total full-time gov't employees: 2,110,221 Total; 1,878,002 Full-Time Permanent",,Accounted for (sum of on-board staff):,1979627,Furloughed:,859313,Coverage,93.81%,
,,,,,,,,,
Agency,Sub-agency,On-Board Staff,Furloughed,Exempt I security,Exempt II funded,Exempt III protection (day 2),Exempt other/unknown,Exempt total,Exempt %
Securities and Exchange Commission,,4149,3897,147,0,105,0,252,6.07375271149675%
Selective Service System ,,,,,,,,0,#DIV/0!
Smithsonian Institution,,,,,,,,0,#DIV/0!
Social Security Administration ,,62343,18006,0,0,0,44337,44337,71.1178480342621%
Special Inspector General for Iraq Reconstruction,,,,,,,,0,#DIV/0!
Udall Foundation ,TOTAL,,,,,,,0,#DIV/0!
Udall Foundation,Environmental Conflict Resolution ,,,,,,,0,#DIV/0!
United States Access Board ,,,,,,,,0,#DIV/0!
United States African Development Foundation,,,,,,,,0,#DIV/0!
United States Agency for International Development,,,,,,,,0,#DIV/0!
United States Commission of Fine Arts ,,,,,,,,0,#DIV/0!
United States Holocaust Memorial Museum ,,,,,,,,0,#DIV/0!
United States Interagency Council on Homlessness ,,,,,,,,0,#DIV/0!
United States International Trade Commission,,,,,,,,0,#DIV/0!
United States Merit System Protection Board ,,,,,,,,0,#DIV/0!
United States Nuclear Regulatory Commission ,,,,,,,,0,#DIV/0!
"United States Postal Service, Office of the Inspector General",,,,,,,,0,#DIV/0!
United States Railroad Reitrement Board,TOTAL,,,,,,,0,#DIV/0!
United States Railroad Reitrement Board,Office of the Inspector General ,,,,,,,0,#DIV/0!
United States Systems Protection Board,,,,,,,,0,#DIV/0!
United States Office of Government Ethics,,,,,,,,0,#DIV/0!
United States Office of Special Counsel ,,,,,,,,0,#DIV/0!
United States Trade and Development Agency ,,48,44,,,,4,4,8.33333333333333%
Woodow Wilson International Center for Scholars,,,,,,,,0,#DIV/0!
